# HELP UNIQUE_ID_SYSTEM Unique ID for the system
# TYPE UNIQUE_ID_SYSTEM gauge
UNIQUE_ID_SYSTEM{uuid="3ae8300b-eee9-4237-8b27-e9e9eef00304"} 1
# HELP active_proccess_list Total number of active proccesses
# TYPE active_proccess_list gauge
active_proccess_list 278
# HELP active_proccess_memory_usage Memory usage for each active proccess
# TYPE active_proccess_memory_usage gauge
active_proccess_memory_usage{pid="10072",process="TrustedInstaller.exe"} 7.7734375
active_proccess_memory_usage{pid="10072",process="Up2Date.exe"} 30.42578125
active_proccess_memory_usage{pid="10072",process="conhost.exe"} 13.09765625
active_proccess_memory_usage{pid="10072",process="postgres.exe"} 14.11328125
active_proccess_memory_usage{pid="10072",process="svchost.exe"} 7.81640625
active_proccess_memory_usage{pid="10072",process="updater.exe"} 9.78125
active_proccess_memory_usage{pid="10076",process="FileCoAuth.exe"} 16.23828125
active_proccess_memory_usage{pid="10076",process="RuntimeBroker.exe"} 8.59375
active_proccess_memory_usage{pid="10076",process="SDXHelper.exe"} 28.16796875
active_proccess_memory_usage{pid="10076",process="TrustedInstaller.exe"} 7.66796875
active_proccess_memory_usage{pid="10076",process="backgroundTaskHost.exe"} 12.765625
active_proccess_memory_usage{pid="10076",process="dllhost.exe"} 7.48046875
active_proccess_memory_usage{pid="10076",process="gpupdate.exe"} 5.21484375
active_proccess_memory_usage{pid="10076",process="postgres.exe"} 13.6484375
active_proccess_memory_usage{pid="10076",process="sppsvc.exe"} 13.0859375
active_proccess_memory_usage{pid="10076",process="svchost.exe"} 22.0078125
active_proccess_memory_usage{pid="10080",process="RuntimeBroker.exe"} 23.87109375
active_proccess_memory_usage{pid="10080",process="backgroundTaskHost.exe"} 12.76953125
active_proccess_memory_usage{pid="10080",process="dllhost.exe"} 7.4296875
active_proccess_memory_usage{pid="10080",process="kontur.updater.exe"} 11.5078125
active_proccess_memory_usage{pid="10080",process="postgres.exe"} 14.203125
active_proccess_memory_usage{pid="10080",process="service_update.exe"} 16.69921875
active_proccess_memory_usage{pid="10080",process="setup.exe"} 236.22265625
active_proccess_memory_usage{pid="10080",process="svchost.exe"} 14.3671875
active_proccess_memory_usage{pid="10080",process="taskhostw.exe"} 26.48046875
active_proccess_memory_usage{pid="10080",process="updater.exe"} 15.6484375
active_proccess_memory_usage{pid="10088",process="AcroRd32.exe"} 42.18359375
active_proccess_memory_usage{pid="10088",process="FileCoAuth.exe"} 16.32421875
active_proccess_memory_usage{pid="10088",process="MpCmdRun.exe"} 13.296875
active_proccess_memory_usage{pid="10088",process="MpSigStub.exe"} 7.734375
active_proccess_memory_usage{pid="10088",process="TrustedInstaller.exe"} 7.69921875
active_proccess_memory_usage{pid="10088",process="Up2Date.exe"} 30.515625
active_proccess_memory_usage{pid="10088",process="backgroundTaskHost.exe"} 12.859375
active_proccess_memory_usage{pid="10088",process="conhost.exe"} 13.0703125
active_proccess_memory_usage{pid="10088",process="dllhost.exe"} 7.4453125
active_proccess_memory_usage{pid="10088",process="postgres.exe"} 15.3203125
active_proccess_memory_usage{pid="10088",process="svchost.exe"} 7.84375
active_proccess_memory_usage{pid="10088",process="updater.exe"} 13.3828125
active_proccess_memory_usage{pid="10092",process="FileCoAuth.exe"} 16.2421875
active_proccess_memory_usage{pid="10092",process="HxTsr.exe"} 32.04296875
active_proccess_memory_usage{pid="10092",process="RuntimeBroker.exe"} 10.31640625
active_proccess_memory_usage{pid="10092",process="TiWorker.exe"} 11.1328125
active_proccess_memory_usage{pid="10092",process="TrustedInstaller.exe"} 7.765625
active_proccess_memory_usage{pid="10092",process="WmiApSrv.exe"} 9.4375
active_proccess_memory_usage{pid="10092",process="backgroundTaskHost.exe"} 12.7734375
active_proccess_memory_usage{pid="10092",process="postgres.exe"} 14.09765625
active_proccess_memory_usage{pid="10092",process="svchost.exe"} 11.87890625
active_proccess_memory_usage{pid="10092",process="updater.exe"} 12.3671875
active_proccess_memory_usage{pid="10096",process="RuntimeBroker.exe"} 32.71484375
active_proccess_memory_usage{pid="10096",process="TrustedInstaller.exe"} 7.68359375
active_proccess_memory_usage{pid="10096",process="backgroundTaskHost.exe"} 12.76953125
active_proccess_memory_usage{pid="10096",process="gpupdate.exe"} 5.203125
active_proccess_memory_usage{pid="10096",process="postgres.exe"} 14.13671875
active_proccess_memory_usage{pid="10100",process="FileCoAuth.exe"} 16.36328125
active_proccess_memory_usage{pid="10100",process="RuntimeBroker.exe"} 32.55078125
active_proccess_memory_usage{pid="10100",process="TrustedInstaller.exe"} 7.671875
active_proccess_memory_usage{pid="10100",process="backgroundTaskHost.exe"} 31.37109375
active_proccess_memory_usage{pid="10100",process="postgres.exe"} 15.8046875
active_proccess_memory_usage{pid="10100",process="sppsvc.exe"} 13.03125
active_proccess_memory_usage{pid="10100",process="svchost.exe"} 22.078125
active_proccess_memory_usage{pid="10100",process="updater.exe"} 10.00390625
active_proccess_memory_usage{pid="10108",process="DeviceCensus.exe"} 8.58203125
active_proccess_memory_usage{pid="10108",process="FileCoAuth.exe"} 16.21484375
active_proccess_memory_usage{pid="10108",process="MoUsoCoreWorker.exe"} 14.99609375
active_proccess_memory_usage{pid="10108",process="RuntimeBroker.exe"} 10.28125
active_proccess_memory_usage{pid="10108",process="SDXHelper.exe"} 29.53515625
active_proccess_memory_usage{pid="10108",process="TiWorker.exe"} 30.29296875
active_proccess_memory_usage{pid="10108",process="WmiApSrv.exe"} 9.4375
active_proccess_memory_usage{pid="10108",process="backgroundTaskHost.exe"} 30.984375
active_proccess_memory_usage{pid="10108",process="postgres.exe"} 14.16796875
active_proccess_memory_usage{pid="10108",process="svchost.exe"} 14.42578125
active_proccess_memory_usage{pid="10116",process="FileCoAuth.exe"} 16.33203125
active_proccess_memory_usage{pid="10116",process="TrustedInstaller.exe"} 7.671875
active_proccess_memory_usage{pid="10116",process="WmiApSrv.exe"} 9.44921875
active_proccess_memory_usage{pid="10116",process="dllhost.exe"} 8.9453125
active_proccess_memory_usage{pid="10116",process="postgres.exe"} 12.4296875
active_proccess_memory_usage{pid="10120",process="RuntimeBroker.exe"} 16.07421875
active_proccess_memory_usage{pid="10128",process="133.0.6943.99_133.0.6943.98_chrome_updater.exe"} 0.796875
active_proccess_memory_usage{pid="10128",process="FileCoAuth.exe"} 16.1328125
